Graded Commit:5918c3e1e1e1fda45c30f7e14190c0bd55cec559

TEST NAME, POINTS,OUT OF
basecode_suite/startup_EOF_test,1,1,
basecode_suite/startup_quit_test,1,1,
basecode_suite/startup_watchers_test,1,1,
basic/show_no_arg,1,1,
basic/show_nonexistent,1,1,
basic/start_empty_eof,1,1,
basic/start_eof,1,1,
basic/start_no_arg,1,1,
basic/start_quit_eof,1,1,
basic/start_trace_untrace,1,1,
basic/start_watchers,0,1,1 assertion(s) failed.: tests/__helper.c:13: The test driver returned an error (-1)
basic/stop_CLI,1,1,
basic/stop_no_arg,1,1,
basic/stop_nonexistent,1,1,
basic/trace_no_arg,1,1,
basic/trace_nonexistent,1,1,
basic/untrace_no_arg,1,1,
network/bitstamp_live_orders,1,1,
network/bitstamp_multi_live_orders,0,1,1 assertion(s) failed.: tests/__helper.c:13: The test driver returned an error (-1)
store/receive_btcusd_tracing_long,0,1,1 assertion(s) failed.: tests/__helper.c:13: The test driver returned an error (-1)
store/receive_btcusd_tracing_long_show,0,1,1 assertion(s) failed.: tests/__helper.c:13: The test driver returned an error (-1)
store/receive_btcusd_tracing_short,0,1,1 assertion(s) failed.: tests/__helper.c:13: The test driver returned an error (-1)
watcher/receive_some_tracing,0,1,1 assertion(s) failed.: tests/__helper.c:13: The test driver returned an error (-1)
watcher/start_wait_stop_watcher_long_delay,0,1,1 assertion(s) failed.: tests/__helper.c:13: The test driver returned an error (-1)
watcher/start_wait_stop_watcher_no_file,0,1,1 assertion(s) failed.: tests/__helper.c:13: The test driver returned an error (-1)
watcher/start_wait_watchers_long_delay,0,1,1 assertion(s) failed.: tests/__helper.c:13: The test driver returned an error (-1)
watcher/start_watcher,1,1,
watcher/start_watcher_trace_subscribe,0,1,1 assertion(s) failed.: tests/__helper.c:13: The test driver returned an error (-1)
total,18,28
